,Q,W
2017/05/01 22:00,6,68
2017/05/01 23:00,6,68
2017/05/02 00:00,6,68
2017/05/02 01:00,6,68
2017/05/02 02:00,6,68
2017/05/02 03:00,6,68
2017/05/02 04:00,6,68
2017/05/02 05:00,6,68
2017/05/02 06:00,6,68
2017/05/02 07:00,6,67.6428571429
2017/05/02 08:00,6,68
2017/05/02 09:00,6,68
2017/05/02 10:00,6,67.8113207547
2017/05/02 11:00,6,67.4339622642
2017/05/02 12:00,5,67.0566037736
2017/05/02 13:00,5,67.5862068966
2017/05/02 14:00,5,68.380952381
2017/05/02 15:00,5,69.4375
2017/05/02 16:00,5,70.6875
2017/05/02 17:00,5,71
2017/05/02 18:00,5,71
2017/05/02 19:00,5,71.9047619048
2017/05/02 20:00,5,72
2017/05/02 21:00,5,71.6818181818
2017/05/02 22:00,5,70.8333333333
2017/05/02 23:00,5,70.1666666667
2017/05/03 00:00,5,70.1176470588
2017/05/03 01:00,5,70.7058823529
2017/05/03 02:00,5,71
2017/05/03 03:00,5,70
2017/05/03 04:00,5,70
2017/05/03 05:00,5,69.5882352941
2017/05/03 06:00,5,69
2017/05/03 07:00,5,69
2017/05/03 08:00,5,69
2017/05/03 09:00,5,69.3333333333
2017/05/03 10:00,5,70
2017/05/03 11:00,5,69.6904761905
2017/05/03 12:00,5,69.2142857143
2017/05/03 13:00,5,68.7380952381
2017/05/03 14:00,5,68.2619047619
2017/05/03 15:00,5,67.4
2017/05/03 16:00,5,66.3
2017/05/03 17:00,5,65.0666666667
2017/05/03 18:00,5,65.6129032258
2017/05/03 19:00,5,68
2017/05/03 20:00,6,71.2857142857
2017/05/03 21:00,6,73.2857142857
2017/05/03 22:00,6,75
2017/05/03 23:00,6,75.5769230769
2017/05/04 00:00,6,76
2017/05/04 01:00,6,75.5454545455
2017/05/04 02:00,6,74.5882352941
2017/05/04 03:00,6,74
2017/05/04 04:00,6,74.024691358
2017/05/04 05:00,6,74.2716049383
2017/05/04 06:00,6,74.5185185185
2017/05/04 07:00,6,74.7654320988
2017/05/04 08:00,6,75
2017/05/04 09:00,6,73.4
2017/05/04 10:00,6,73
2017/05/04 11:00,5,72.5862068966
2017/05/04 12:00,5,72.2307692308
2017/05/04 13:00,4,71.6666666667
2017/05/04 14:00,5,68
